[Epoch 0] Training: MSE=0.35101648, CE=1.98991328, LL=1.13575832, Correct: 50/150, Acc: 0.33333333
[Epoch 1] Training: MSE=0.35685102, CE=2.01618235, LL=1.14912048, Correct: 50/150, Acc: 0.33333333
[Epoch 2] Training: MSE=0.35639476, CE=2.01398864, LL=1.14813574, Correct: 50/150, Acc: 0.33333333
[Epoch 3] Training: MSE=0.35437837, CE=2.00490209, LL=1.14575037, Correct: 50/150, Acc: 0.33333333
[Epoch 4] Training: MSE=0.35223003, CE=1.99520139, LL=1.14349029, Correct: 50/150, Acc: 0.33333333
[Epoch 5] Training: MSE=0.35031508, CE=1.98646512, LL=1.14156680, Correct: 50/150, Acc: 0.33333333
[Epoch 6] Training: MSE=0.34871835, CE=1.97904087, LL=1.13981143, Correct: 50/150, Acc: 0.33333333
[Epoch 7] Training: MSE=0.34745549, CE=1.97297198, LL=1.13794379, Correct: 50/150, Acc: 0.33333333
[Epoch 8] Training: MSE=0.34653515, CE=1.96827108, LL=1.13577658, Correct: 50/150, Acc: 0.33333333
[Epoch 9] Training: MSE=0.34597833, CE=1.96497833, LL=1.13322576, Correct: 50/150, Acc: 0.33333333
[Epoch 10] Training: MSE=0.34585849, CE=1.96327553, LL=1.13018086, Correct: 50/150, Acc: 0.33333333
[Epoch 11] Training: MSE=0.34641558, CE=1.96388695, LL=1.12647757, Correct: 50/150, Acc: 0.33333333
[Epoch 12] Training: MSE=0.34829485, CE=1.96910258, LL=1.12193156, Correct: 50/150, Acc: 0.33333333
[Epoch 13] Training: MSE=0.35188427, CE=1.98043795, LL=1.11552936, Correct: 50/150, Acc: 0.33333333
[Epoch 14] Training: MSE=0.35544780, CE=1.99062312, LL=1.10560605, Correct: 50/150, Acc: 0.33333333
[Epoch 15] Training: MSE=0.35629434, CE=1.98841680, LL=1.08903285, Correct: 50/150, Acc: 0.33333333
[Epoch 16] Training: MSE=0.35167728, CE=1.96236428, LL=1.06011415, Correct: 50/150, Acc: 0.33333333
[Epoch 17] Training: MSE=0.34189652, CE=1.91298012, LL=1.01785387, Correct: 50/150, Acc: 0.33333333
[Epoch 18] Training: MSE=0.33022385, CE=1.85315834, LL=0.96803742, Correct: 50/150, Acc: 0.33333333
[Epoch 19] Training: MSE=0.31898719, CE=1.79373434, LL=0.91815137, Correct: 50/150, Acc: 0.33333333
[Epoch 20] Training: MSE=0.30857369, CE=1.73803009, LL=0.87253846, Correct: 73/150, Acc: 0.48666667
[Epoch 21] Training: MSE=0.29883166, CE=1.68617920, LL=0.83259669, Correct: 99/150, Acc: 0.66000000
[Epoch 22] Training: MSE=0.28983778, CE=1.63877994, LL=0.79847476, Correct: 100/150, Acc: 0.66666667
[Epoch 23] Training: MSE=0.28179228, CE=1.59680510, LL=0.76970619, Correct: 100/150, Acc: 0.66666667
[Epoch 24] Training: MSE=0.27482641, CE=1.56076812, LL=0.74550589, Correct: 100/150, Acc: 0.66666667
[Epoch 25] Training: MSE=0.26892582, CE=1.53040590, LL=0.72496739, Correct: 100/150, Acc: 0.66666667
[Epoch 26] Training: MSE=0.26394061, CE=1.50480218, LL=0.70719973, Correct: 100/150, Acc: 0.66666667
[Epoch 27] Training: MSE=0.25964608, CE=1.48273203, LL=0.69144995, Correct: 100/150, Acc: 0.66666667
[Epoch 28] Training: MSE=0.25579916, CE=1.46293691, LL=0.67714808, Correct: 100/150, Acc: 0.66666667
[Epoch 29] Training: MSE=0.25217186, CE=1.44425716, LL=0.66388854, Correct: 100/150, Acc: 0.66666667
[Epoch 30] Training: MSE=0.24857692, CE=1.42572868, LL=0.65141314, Correct: 100/150, Acc: 0.66666667
[Epoch 31] Training: MSE=0.24488810, CE=1.40667087, LL=0.63959586, Correct: 100/150, Acc: 0.66666667
[Epoch 32] Training: MSE=0.24104792, CE=1.38672969, LL=0.62841090, Correct: 100/150, Acc: 0.66666667
[Epoch 33] Training: MSE=0.23706064, CE=1.36585762, LL=0.61788777, Correct: 100/150, Acc: 0.66666667
[Epoch 34] Training: MSE=0.23297404, CE=1.34424136, LL=0.60806825, Correct: 100/150, Acc: 0.66666667
[Epoch 35] Training: MSE=0.22885750, CE=1.32220711, LL=0.59897770, Correct: 101/150, Acc: 0.67333333
[Epoch 36] Training: MSE=0.22478406, CE=1.30013746, LL=0.59061590, Correct: 101/150, Acc: 0.67333333
[Epoch 37] Training: MSE=0.22082080, CE=1.27842027, LL=0.58296494, Correct: 101/150, Acc: 0.67333333
[Epoch 38] Training: MSE=0.21702701, CE=1.25742812, LL=0.57600583, Correct: 102/150, Acc: 0.68000000
[Epoch 39] Training: MSE=0.21345644, CE=1.23751400, LL=0.56973421, Correct: 102/150, Acc: 0.68000000
[Epoch 40] Training: MSE=0.21016031, CE=1.21901269, LL=0.56417010, Correct: 102/150, Acc: 0.68000000
[Epoch 41] Training: MSE=0.20719102, CE=1.20225152, LL=0.55936449, Correct: 102/150, Acc: 0.68000000
[Epoch 42] Training: MSE=0.20460973, CE=1.18758865, LL=0.55541417, Correct: 102/150, Acc: 0.68000000
[Epoch 43] Training: MSE=0.20250272, CE=1.17550067, LL=0.55249801, Correct: 102/150, Acc: 0.68000000
[Epoch 44] Training: MSE=0.20100166, CE=1.16669143, LL=0.55092458, Correct: 103/150, Acc: 0.68666667
[Epoch 45] Training: MSE=0.20025752, CE=1.16195244, LL=0.55106481, Correct: 103/150, Acc: 0.68666667
[Epoch 46] Training: MSE=0.20020090, CE=1.16089350, LL=0.55274085, Correct: 103/150, Acc: 0.68666667
[Epoch 47] Training: MSE=0.19991789, CE=1.15865644, LL=0.55361664, Correct: 103/150, Acc: 0.68666667
[Epoch 48] Training: MSE=0.19756796, CE=1.14562935, LL=0.54905475, Correct: 103/150, Acc: 0.68666667
[Epoch 49] Training: MSE=0.19416471, CE=1.12731628, LL=0.54201036, Correct: 104/150, Acc: 0.69333333
[Epoch 50] Training: MSE=0.19185666, CE=1.11478337, LL=0.53790347, Correct: 105/150, Acc: 0.70000000
[Epoch 51] Training: MSE=0.18914521, CE=1.10022460, LL=0.53245927, Correct: 105/150, Acc: 0.70000000
[Epoch 52] Training: MSE=0.18658357, CE=1.08644444, LL=0.52728757, Correct: 105/150, Acc: 0.70000000
[Epoch 53] Training: MSE=0.18371481, CE=1.07113656, LL=0.52112249, Correct: 105/150, Acc: 0.70000000
[Epoch 54] Training: MSE=0.18083449, CE=1.05581230, LL=0.51476979, Correct: 105/150, Acc: 0.70000000
[Epoch 55] Training: MSE=0.17780124, CE=1.03978392, LL=0.50782425, Correct: 105/150, Acc: 0.70000000
[Epoch 56] Training: MSE=0.17487039, CE=1.02434706, LL=0.50099791, Correct: 107/150, Acc: 0.71333333
[Epoch 57] Training: MSE=0.17197155, CE=1.00920274, LL=0.49413599, Correct: 108/150, Acc: 0.72000000
[Epoch 58] Training: MSE=0.16919844, CE=0.99485113, LL=0.48755799, Correct: 109/150, Acc: 0.72666667
[Epoch 59] Training: MSE=0.16638703, CE=0.98050039, LL=0.48086780, Correct: 109/150, Acc: 0.72666667
[Epoch 60] Training: MSE=0.16355655, CE=0.96620930, LL=0.47414144, Correct: 109/150, Acc: 0.72666667
[Epoch 61] Training: MSE=0.16060140, CE=0.95142646, LL=0.46709139, Correct: 112/150, Acc: 0.74666667
[Epoch 62] Training: MSE=0.15757755, CE=0.93638462, LL=0.45986411, Correct: 113/150, Acc: 0.75333333
